lat,lon,elev,dist,elev_diff,slope,time_diff,pace,energy_cost,adjusted_pace,weather_adjusted_pace,temp,humidity,ml_predicted_pace
46.278389,3.470821,332.5,21.41081921268197,0.0,0.0,6.871,320.9125223910254,3.6,320.9125223910254,327.6516853612369,20.419999999999998,61.25999999999999,332.33093
46.278871,3.47049,329.0,59.392871494731814,-3.5,-0.0589296309795436,19.404,326.70587415058975,2.620042348308557,237.7731182543642,242.76635373770583,20.419999999999998,61.25999999999999,240.63582
46.279446,3.470025,326.5,73.32826043291864,-2.5,-0.03409326752387673,17.61,240.15297643818766,2.990665806376575,199.5048041481242,203.6944050352348,20.419999999999998,61.25999999999999,206.21713
46.279722,3.469872,325.0,32.90198638457,-1.5,-0.045589952608559005,8.814,267.8865615278927,2.811168881402006,209.18732375360992,213.5802575524357,20.419999999999998,61.25999999999999,211.95732
46.280364,3.469677,322.0,73.02482696706423,-3.0,-0.041081918637795124,18.762,256.92631916077073,2.8799416361668477,205.53688999394328,209.85316468381606,20.419999999999998,61.25999999999999,212.36469
46.280808,3.469403,319.5,53.73357185888985,-2.5,-0.046525848059482615,14.136,263.07575526753845,2.7971539897995044,204.4064995739203,208.69903606497263,20.419999999999998,61.25999999999999,208.60272
46.281012,3.469403,318.25,22.709176121442677,-1.25,-0.05504382868472771,5.731,252.3649457537396,2.6737898333994785,187.43634062854437,191.37250378174377,20.419999999999998,61.25999999999999,191.51694
46.281292,3.46943,316.5,31.23859819911991,-1.75,-0.056020439484679024,7.626,244.12106943437846,2.6601315971629993,180.38726953767016,184.17540219796123,20.419999999999998,61.25999999999999,184.06963
46.281704,3.469187,313.75,49.52754360168916,-2.75,-0.055524659613973064,12.084,243.98544973645474,2.6670526889881394,180.75612494266448,184.55200356646043,20.419999999999998,61.25999999999999,184.27913
46.281989,3.468928,311.0,37.464436661431016,-2.75,-0.07340294543467878,8.812,235.20972915286885,2.4340178532077434,159.02907777951128,162.368688412881,20.419999999999998,61.25999999999999,162.26967
46.282954,3.468325,300.5,117.01210860527445,-10.5,-0.08973430292945513,26.263,224.44685693678855,2.251411751505932,140.36730313779347,143.31501650368713,20.419999999999998,61.25999999999999,144.26387
46.283183,3.467749,297.25,51.12233002390157,-3.25,-0.06357300221802303,10.727,209.83002916699482,2.557916374924568,149.09101876587658,152.22193015995998,20.419999999999998,61.25999999999999,274.25397
46.283509,3.467173,294.25,57.276471090426995,-3.0,-0.05237752855380454,13.45,234.82591968289034,2.7115897073760595,176.87542967701185,180.5898137002291,20.419999999999998,61.25999999999999,182.32549
46.284102,3.466581,291.75,80.1986511793736,-2.5,-0.03117259409274178,19.9,248.13384897822456,3.0384038793620425,209.42523592679797,213.8231658812607,20.419999999999998,61.25999999999999,217.54549
46.28421,3.466404,291.0,18.164713435637413,-0.75,-0.041288842934817375,4.987,274.5432796212457,2.8767391468447685,219.38594444155194,223.9930492748245,20.419999999999998,61.25999999999999,224.04028
46.283742,3.465628,290.75,79.23449273737205,-0.25,-0.003155191525345426,20.822,262.78959176296985,3.538936049590179,258.332099929739,263.7570740282635,20.419999999999998,61.25999999999999,267.16092
46.28354,3.46517,291.25,41.7987180425307,0.5,0.011962089351430442,13.788,329.8665759550459,3.839811182702242,351.84037976441215,359.22902773946475,20.419999999999998,61.25999999999999,361.78583
46.283496,3.465086,291.25,8.108759428914652,0.0,0.0,2.781,342.962449975191,3.6,342.962449975191,350.16466142467,20.419999999999998,61.25999999999999,332.33093
46.283059,3.464013,290.5,95.81625680980527,-0.75,-0.007827481734010397,32.869,343.0419961535836,3.450221530034289,328.76968912084277,335.67385259238046,20.419999999999998,61.25999999999999,334.01556
46.282907,3.463571,290.25,37.98149838028901,-0.25,-0.006582152117772708,11.945,314.49522818718,3.473666257417143,303.45873952014216,309.8313730500651,20.419999999999998,61.25999999999999,311.77917
46.282808,3.463245,290.0,27.394629298936195,-0.25,-0.009125876363280746,8.671,316.52189578402937,3.4259340379779433,301.21753792550373,307.5431062219393,20.419999999999998,61.25999999999999,307.13672
46.282736,3.463084,290.0,14.753245405012368,0.0,0.0,4.65,315.18488795829137,3.6,315.18488795829137,321.8037706054155,20.419999999999998,61.25999999999999,332.33093
46.282624,3.462747,289.75,28.768495746726902,-0.25,-0.008690061593798953,9.067,315.17115388390044,3.434068478423277,300.64425690583175,306.9577863008542,20.419999999999998,61.25999999999999,307.13672
46.282472,3.462335,289.75,35.93013595013018,0.0,0.0,11.554,321.56850216310244,3.6,321.56850216310244,328.3214407085276,20.419999999999998,61.25999999999999,332.33093
46.282185,3.461601,290.5,64.8806965206732,0.75,0.011559678613515261,21.197,326.7073434275773,3.831533229420814,347.71945628848897,355.0215648705472,20.419999999999998,61.25999999999999,365.28802
46.282036,3.461293,291.0,28.924020428930397,0.5,0.017286670130404476,10.076,348.36097646791103,3.9506996964811116,382.29711222156664,390.3253515782195,20.419999999999998,61.25999999999999,398.3167
46.281546,3.460135,291.5,104.46243771317614,0.5,0.004786409459186243,37.053,354.70165938245566,3.694390940643506,364.0018325149341,371.6458709977477,20.419999999999998,61.25999999999999,337.0636
